Protocol name;Instrument;Parameter;Level;Date;Value;Target;SD;Status;Message;User comment;User;Sample ID
AU 3 Multichem;AU3;URATE;3;01/31/2017 19:29:42;475.0;463;15;Accepted;;;;T3
AU 3 Multichem;AU3;ALB;3;01/31/2017 19:29:37;56.50;54.9;2;Accepted;;;;T3
AU 3 Multichem;AU3;ALP;3;01/31/2017 19:29:37;486.0;475;20;Accepted;;;;T3
AU 3 Multichem;AU3;ALT;3;01/31/2017 19:29:37;241.7;229;10;Accepted;;;;T3
AU 3 Multichem;AU3;AMY;3;01/31/2017 19:29:37;329.0;312;15;Accepted;;;;T3
AU 3 Multichem;AU3;AST;3;01/31/2017 19:29:37;268.8;269;10;Accepted;;;;T3
AU 3 Multichem;AU3;C3;3;01/31/2017 19:29:37;2.090;2.1;0.15;Accepted;;;;T3
AU 3 Multichem;AU3;CK;3;01/31/2017 19:29:37;451.0;442;15;Accepted;;;;T3
AU 3 Multichem;AU3;CL;3;01/31/2017 19:29:37;106.0;106.5;3;Accepted;;;;T3
AU 3 Multichem;AU3;CRP;3;01/31/2017 19:29:37;28.60;29.5;1;Accepted;;;;T3
AU 3 Multichem;AU3;GGT;3;01/31/2017 19:29:37;153.7;147;5;Accepted;;;;T3
AU 3 Multichem;AU3;HDL;3;01/31/2017 19:29:37;1.660;1.61;0.1;Accepted;;;;T3
AU 3 Multichem;AU3;IGG;3;01/31/2017 19:29:37;13.02;13.4;1;Accepted;;;;T3
AU 3 Multichem;AU3;K;3;01/31/2017 19:29:37;6.710;6.67;0.2;Accepted;;;;T3
AU 3 Multichem;AU3;LACT;3;01/31/2017 19:29:37;4.200;4.2;0.2;Accepted;;;;T3
AU 3 Multichem;AU3;MG;3;01/31/2017 19:29:37;1.830;1.82;0.1;Accepted;;;;T3
AU 3 Multichem;AU3;NA;3;01/31/2017 19:29:37;157.0;156;4;Accepted;;;;T3
AU 3 Multichem;AU3;PARA;3;01/31/2017 19:29:37;206.0;207;5;Accepted;;;;T3
AU 3 Multichem;AU3;PO4;3;01/31/2017 19:29:37;2.390;2.38;0.1;Accepted;;;;T3
AU 3 Multichem;AU3;SALIC;3;01/31/2017 19:29:37;341.1;365;15;Accepted;;;;T3
AU 3 Multichem;AU3;UREA;3;01/31/2017 19:29:37;22.85;22;1;Accepted;;;;T3
AU 3 Multichem;AU3;ALC;2;01/31/2017 13:10:14;737.0;703;30;Accepted;;;;T2
AU 3 Multichem;AU3;BICARB;2;01/31/2017 13:10:14;24.00;23.5;4;Accepted;;;;T2
AU 3 Multichem;AU3;C4;2;01/31/2017 13:10:14;0.250;0.27;0.02;Accepted;;;;T2
AU 3 Multichem;AU3;CA;2;01/31/2017 13:10:14;2.490;2.4;0.1;Accepted;;;;T2
AU 3 Multichem;AU3;CHOL;2;01/31/2017 13:10:14;3.970;3.94;0.15;Accepted;;;;T2
AU 3 Multichem;AU3;CL;2;01/31/2017 13:10:14;93.00;91.8;2.5;Accepted;;;;T2
AU 3 Multichem;AU3;CREAT;2;01/31/2017 13:10:14;166.0;164.5;5;Accepted;;;;T2
AU 3 Multichem;AU3;DBIL;2;01/31/2017 13:10:14;15.40;15.9;1;Accepted;;;;T2
AU 3 Multichem;AU3;GLU;2;01/31/2017 13:10:14;6.920;6.8;0.2;Accepted;;;;T2
AU 3 Multichem;AU3;IGA;2;01/31/2017 13:10:14;2.280;2.28;0.1;Accepted;;;;T2
AU 3 Multichem;AU3;IGM;2;01/31/2017 13:10:14;0.910;0.92;0.05;Accepted;;;;T2
AU 3 Multichem;AU3;K;2;01/31/2017 13:10:14;3.78;3.8;0.15;Accepted;;;;T2
AU 3 Multichem;AU3;NA;2;01/31/2017 13:10:14;141.0;141;2;Accepted;;;;T2
AU 3 Multichem;AU3;TBIL;2;01/31/2017 13:10:14;50.00;50;3;Accepted;;;;T2
AU 3 Multichem;AU3;TP;2;01/31/2017 13:10:14;65.5;65;2;Accepted;;;;T2
AU 3 Multichem;AU3;TRIG;2;01/31/2017 13:10:14;1.710;1.7;0.1;Accepted;;;;T2
AU 3 Multichem;AU3;URATE;2;01/31/2017 13:10:14;351.0;347;10;Accepted;;;;T2
AU 3 Multichem;AU3;ALB;2;01/31/2017 13:10:09;43.1;43.5;2;Accepted;;;;T2
AU 3 Multichem;AU3;ALP;2;01/31/2017 13:10:09;221.0;220;10;Accepted;;;;T2
AU 3 Multichem;AU3;ALT;2;01/31/2017 13:10:09;114;110;5;Accepted;;;;T2
AU 3 Multichem;AU3;AMY;2;01/31/2017 13:10:09;119.0;117;5;Accepted;;;;T2
AU 3 Multichem;AU3;AST;2;01/31/2017 13:10:09;131.2;133;5;Accepted;;;;T2
AU 3 Multichem;AU3;C3;2;01/31/2017 13:10:09;1.340;1.35;0.1;Accepted;;;;T2
AU 3 Multichem;AU3;CK;2;01/31/2017 13:10:09;249.0;244;10;Accepted;;;;T2
AU 3 Multichem;AU3;CL;2;01/31/2017 13:10:09;92.00;91.8;2.5;Accepted;;;;T2
AU 3 Multichem;AU3;CRP;2;01/31/2017 13:10:09;10.00;10.1;0.25;Accepted;;;;T2
AU 3 Multichem;AU3;GGT;2;01/31/2017 13:10:09;78.50;77;3;Accepted;;;;T2
AU 3 Multichem;AU3;HDL;2;01/31/2017 13:10:09;1.080;1.1;0.1;Accepted;;;;T2
AU 3 Multichem;AU3;IGG;2;01/31/2017 13:10:09;10.33;10.5;1;Accepted;;;;T2
AU 3 Multichem;AU3;K;2;01/31/2017 13:10:09;3.79;3.8;0.15;Accepted;;;;T2
AU 3 Multichem;AU3;LACT;2;01/31/2017 13:10:09;1.770;1.85;0.1;Accepted;;;;T2
AU 3 Multichem;AU3;MG;2;01/31/2017 13:10:09;1.210;1.22;0.05;Accepted;;;;T2
AU 3 Multichem;AU3;NA;2;01/31/2017 13:10:09;142.0;141;2;Accepted;;;;T2
AU 3 Multichem;AU3;PARA;2;01/31/2017 13:10:09;74.00;76.5;2;Accepted;;;;T2
AU 3 Multichem;AU3;PO4;2;01/31/2017 13:10:09;1.28;1.3;0.1;Accepted;;;;T2
AU 3 Multichem;AU3;SALIC;2;01/31/2017 13:10:09;130.2;136;10;Accepted;;;;T2
AU 3 Multichem;AU3;UREA;2;01/31/2017 13:10:09;13.44;13.8;0.5;Accepted;;;;T2
AU 3 Multichem;AU3;ALC;3;01/31/2017 10:26:45;1960.0;1925;100;Accepted;;;;T3
AU 3 Multichem;AU3;BICARB;3;01/31/2017 10:26:45;34.00;34.4;5;Accepted;;;;T3
AU 3 Multichem;AU3;C4;3;01/31/2017 10:26:45;0.360;0.38;0.02;Accepted;;;;T3
AU 3 Multichem;AU3;CA;3;01/31/2017 10:26:45;3.170;3.14;0.15;Accepted;;;;T3
AU 3 Multichem;AU3;CHOL;3;01/31/2017 10:26:45;6.950;6.84;0.2;Accepted;;;;T3
AU 3 Multichem;AU3;CREAT;3;01/31/2017 10:26:45;483;469;20;Accepted;;;;T3
AU 3 Multichem;AU3;DBIL;3;01/31/2017 10:26:45;28.80;29;2;Accepted;;;;T3
AU 3 Multichem;AU3;GLU;3;01/31/2017 10:26:45;16.46;16.4;0.5;Accepted;;;;T3
AU 3 Multichem;AU3;IGA;3;01/31/2017 10:26:45;2.900;2.9;0.1;Accepted;;;;T3
AU 3 Multichem;AU3;IGM;3;01/31/2017 10:26:45;1.190;1.21;0.05;Accepted;;;;T3
AU 3 Multichem;AU3;TBIL;3;01/31/2017 10:26:45;91.00;93.2;5;Accepted;;;;T3
AU 3 Multichem;AU3;TP;3;01/31/2017 10:26:45;89.33;86;2;Accepted;;;;T3
AU 3 Multichem;AU3;TRIG;3;01/31/2017 10:26:45;3.070;2.9;0.1;Accepted;4-1S fails (across runs) because results 3.070, 3.100, 3.090, and 3.130 are on the same side of the target and out of 1 SD (Target=2.900, SD=0.100);;;T3
AU 3 Multichem;AU3;URATE;3;01/31/2017 10:26:45;467.0;463;15;Accepted;;;;T3
AU 3 Multichem;AU3;CL;3;01/31/2017 10:26:40;110.0;106.5;3;Accepted;;;;T3
AU 3 Multichem;AU3;K;3;01/31/2017 10:26:40;6.670;6.67;0.2;Accepted;;;;T3
AU 3 Multichem;AU3;NA;3;01/31/2017 10:26:40;156.0;156;4;Accepted;;;;T3
AU 3 Multichem;AU3;ALT;3;01/31/2017 10:26:35;235.4;229;10;Accepted;;;;T3
AU 3 Multichem;AU3;ALP;3;01/31/2017 10:26:30;473.0;475;20;Accepted;;;;T3
AU 3 Multichem;AU3;ALT;3;01/31/2017 10:26:30;237.2;229;10;Accepted;;;;T3
AU 3 Multichem;AU3;CRP;3;01/31/2017 10:26:30;28.50;29.5;1;Accepted;;;;T3
AU 3 Multichem;AU3;UREA;3;01/31/2017 10:26:30;22.78;22;1;Accepted;;;;T3
AU 3 Multichem;AU3;ALB;3;01/31/2017 10:26:25;56.00;54.9;2;Accepted;;;;T3
AU 3 Multichem;AU3;ALP;3;01/31/2017 10:26:25;480.0;475;20;Accepted;;;;T3
AU 3 Multichem;AU3;ALT;3;01/31/2017 10:26:25;237.6;229;10;Accepted;;;;T3
AU 3 Multichem;AU3;AMY;3;01/31/2017 10:26:25;325.0;312;15;Accepted;;;;T3
AU 3 Multichem;AU3;AST;3;01/31/2017 10:26:25;266.2;269;10;Accepted;;;;T3
AU 3 Multichem;AU3;C3;3;01/31/2017 10:26:25;2.070;2.1;0.15;Accepted;;;;T3
AU 3 Multichem;AU3;CK;3;01/31/2017 10:26:25;444.0;442;15;Accepted;;;;T3
AU 3 Multichem;AU3;CRP;3;01/31/2017 10:26:25;29.50;29.5;1;Accepted;;;;T3
AU 3 Multichem;AU3;GGT;3;01/31/2017 10:26:25;151.4;147;5;Accepted;;;;T3
AU 3 Multichem;AU3;HDL;3;01/31/2017 10:26:25;1.640;1.61;0.1;Accepted;;;;T3
AU 3 Multichem;AU3;IGG;3;01/31/2017 10:26:25;13.20;13.4;1;Accepted;;;;T3
AU 3 Multichem;AU3;LACT;3;01/31/2017 10:26:25;4.180;4.2;0.2;Accepted;;;;T3
AU 3 Multichem;AU3;MG;3;01/31/2017 10:26:25;1.850;1.82;0.1;Accepted;;;;T3
AU 3 Multichem;AU3;PARA;3;01/31/2017 10:26:25;204.0;207;5;Accepted;;;;T3
AU 3 Multichem;AU3;PO4;3;01/31/2017 10:26:25;2.410;2.38;0.1;Accepted;;;;T3
AU 3 Multichem;AU3;SALIC;3;01/31/2017 10:26:25;365.2;365;15;Accepted;;;;T3
AU 3 Multichem;AU3;UREA;3;01/31/2017 10:26:25;21.73;22;1;Accepted;;;;T3
AU 3 Multichem;AU3;CL;3;01/31/2017 10:26:20;107.0;106.5;3;Accepted;;;;T3
AU 3 Multichem;AU3;K;3;01/31/2017 10:26:20;6.750;6.67;0.2;Accepted;;;;T3
AU 3 Multichem;AU3;NA;3;01/31/2017 10:26:20;158.0;156;4;Accepted;;;;T3
AU 3 Multichem;AU3;ALC;2;01/31/2017 10:26:15;726.0;703;30;Accepted;;;;T2
AU 3 Multichem;AU3;BICARB;2;01/31/2017 10:26:15;24.00;23.5;4;Accepted;;;;T2
AU 3 Multichem;AU3;C4;2;01/31/2017 10:26:15;0.260;0.27;0.02;Accepted;;;;T2
AU 3 Multichem;AU3;CA;2;01/31/2017 10:26:15;2.440;2.4;0.1;Accepted;;;;T2
AU 3 Multichem;AU3;CHOL;2;01/31/2017 10:26:15;3.970;3.94;0.15;Accepted;;;;T2
AU 3 Multichem;AU3;CREAT;2;01/31/2017 10:26:15;167.0;164.5;5;Accepted;;;;T2
AU 3 Multichem;AU3;DBIL;2;01/31/2017 10:26:15;15.50;15.9;1;Accepted;;;;T2
AU 3 Multichem;AU3;GLU;2;01/31/2017 10:26:15;6.830;6.8;0.2;Accepted;;;;T2
AU 3 Multichem;AU3;IGA;2;01/31/2017 10:26:15;2.230;2.28;0.1;Accepted;;;;T2
AU 3 Multichem;AU3;IGM;2;01/31/2017 10:26:15;0.930;0.92;0.05;Accepted;;;;T2
AU 3 Multichem;AU3;TBIL;2;01/31/2017 10:26:15;49.00;50;3;Accepted;;;;T2
AU 3 Multichem;AU3;TP;2;01/31/2017 10:26:15;68.0;65;2;Accepted;;;;T2
AU 3 Multichem;AU3;TRIG;2;01/31/2017 10:26:15;1.760;1.7;0.1;Accepted;;;;T2
AU 3 Multichem;AU3;URATE;2;01/31/2017 10:26:15;354.0;347;10;Accepted;;;;T2
AU 3 Multichem;AU3;CL;2;01/31/2017 10:26:10;94.00;91.8;2.5;Accepted;;;;T2
AU 3 Multichem;AU3;K;2;01/31/2017 10:26:10;3.79;3.8;0.15;Accepted;;;;T2
AU 3 Multichem;AU3;NA;2;01/31/2017 10:26:10;142.0;141;2;Accepted;;;;T2
AU 3 Multichem;AU3;ALT;2;01/31/2017 10:26:05;111;110;5;Accepted;;;;T2
AU 3 Multichem;AU3;ALP;2;01/31/2017 10:26;220.0;220;10;Accepted;;;;T2
AU 3 Multichem;AU3;ALT;2;01/31/2017 10:26;112;110;5;Accepted;;;;T2
AU 3 Multichem;AU3;CRP;2;01/31/2017 10:26;9.90;10.1;0.25;Accepted;;;;T2
AU 3 Multichem;AU3;UREA;2;01/31/2017 10:26;14.32;13.8;0.5;Accepted;;;;T2
AU 3 Multichem;AU3;ALB;2;01/31/2017 10:25:55;43.9;43.5;2;Accepted;;;;T2
AU 3 Multichem;AU3;ALP;2;01/31/2017 10:25:55;217.0;220;10;Accepted;;;;T2
AU 3 Multichem;AU3;ALT;2;01/31/2017 10:25:55;112;110;5;Accepted;;;;T2
AU 3 Multichem;AU3;AMY;2;01/31/2017 10:25:55;119.0;117;5;Accepted;;;;T2
AU 3 Multichem;AU3;AST;2;01/31/2017 10:25:55;129.8;133;5;Accepted;;;;T2
AU 3 Multichem;AU3;C3;2;01/31/2017 10:25:55;1.310;1.35;0.1;Accepted;;;;T2
AU 3 Multichem;AU3;CK;2;01/31/2017 10:25:55;247.0;244;10;Accepted;;;;T2
AU 3 Multichem;AU3;CRP;2;01/31/2017 10:25:55;10.10;10.1;0.25;Accepted;;;;T2
AU 3 Multichem;AU3;GGT;2;01/31/2017 10:25:55;77.00;77;3;Accepted;;;;T2
AU 3 Multichem;AU3;HDL;2;01/31/2017 10:25:55;1.090;1.1;0.1;Accepted;;;;T2
AU 3 Multichem;AU3;IGG;2;01/31/2017 10:25:55;10.39;10.5;1;Accepted;;;;T2
AU 3 Multichem;AU3;LACT;2;01/31/2017 10:25:55;1.850;1.85;0.1;Accepted;;;;T2
AU 3 Multichem;AU3;MG;2;01/31/2017 10:25:55;1.250;1.22;0.05;Accepted;;;;T2
AU 3 Multichem;AU3;PARA;2;01/31/2017 10:25:55;75.00;76.5;2;Accepted;;;;T2
AU 3 Multichem;AU3;PO4;2;01/31/2017 10:25:55;1.31;1.3;0.1;Accepted;;;;T2
AU 3 Multichem;AU3;SALIC;2;01/31/2017 10:25:55;130.0;136;10;Accepted;;;;T2
AU 3 Multichem;AU3;UREA;2;01/31/2017 10:25:55;14.09;13.8;0.5;Accepted;;;;T2
AU 3 Multichem;AU3;CL;2;01/31/2017 10:25:50;92.00;91.8;2.5;Accepted;;;;T2
AU 3 Multichem;AU3;K;2;01/31/2017 10:25:50;3.82;3.8;0.15;Accepted;;;;T2
AU 3 Multichem;AU3;NA;2;01/31/2017 10:25:50;142.0;141;2;Accepted;;;;T2
AU 3 Multichem;AU3;ALC;1;01/31/2017 10:25:45;346.0;352.6;15;Accepted;;;;T1
AU 3 Multichem;AU3;BICARB;1;01/31/2017 10:25:45;17.00;17.2;2;Accepted;;;;T1
AU 3 Multichem;AU3;C4;1;01/31/2017 10:25:45;0.170;0.18;0.01;Accepted;;;;T1
AU 3 Multichem;AU3;CA;1;01/31/2017 10:25:45;1.62;1.58;0.1;Accepted;;;;T1
AU 3 Multichem;AU3;CHOL;1;01/31/2017 10:25:45;2.530;2.52;0.1;Accepted;;;;T1
AU 3 Multichem;AU3;CREAT;1;01/31/2017 10:25:45;58.00;53.6;3;Accepted;;;;T1
AU 3 Multichem;AU3;DBIL;1;01/31/2017 10:25:45;5.300;5.59;0.5;Accepted;;;;T1
AU 3 Multichem;AU3;GLU;1;01/31/2017 10:25:45;2.63;2.64;0.15;Accepted;;;;T1
AU 3 Multichem;AU3;IGA;1;01/31/2017 10:25:45;1.580;1.58;0.1;Accepted;;;;T1
AU 3 Multichem;AU3;IGM;1;01/31/2017 10:25:45;0.6100;0.59;0.05;Accepted;;;;T1
AU 3 Multichem;AU3;TBIL;1;01/31/2017 10:25:45;15.00;16.12;1;Accepted;;;;T1
AU 3 Multichem;AU3;TP;1;01/31/2017 10:25:45;46.01;44.03;1;Accepted;;;;T1
AU 3 Multichem;AU3;TRIG;1;01/31/2017 10:25:45;0.630;0.6;0.15;Accepted;;;;T1
AU 3 Multichem;AU3;URATE;1;01/31/2017 10:25:45;139.0;138.5;5;Accepted;;;;T1
AU 3 Multichem;AU3;CL;1;01/31/2017 10:25:40;82.0;80.8;3;Accepted;;;;T1
AU 3 Multichem;AU3;K;1;01/31/2017 10:25:40;2.620;2.58;0.1;Accepted;;;;T1
AU 3 Multichem;AU3;NA;1;01/31/2017 10:25:40;119.0;117.6;2;Accepted;;;;T1
AU 3 Multichem;AU3;ALT;1;01/31/2017 10:25:35;24.30;25.72;2;Accepted;;;;T1
AU 3 Multichem;AU3;ALP;1;01/31/2017 10:25:30;65.00;67.18;5;Accepted;;;;T1
AU 3 Multichem;AU3;ALT;1;01/31/2017 10:25:30;23.40;25.72;2;Accepted;;;;T1
AU 3 Multichem;AU3;CRP;1;01/31/2017 10:25:30;3.500;3.53;0.24;Accepted;;;;T1
AU 3 Multichem;AU3;UREA;1;01/31/2017 10:25:30;3.19;3.19;0.2;Accepted;;;;T1
AU 3 Multichem;AU3;ALB;1;01/31/2017 10:25:25;28.70;28.98;1.5;Accepted;;;;T1
AU 3 Multichem;AU3;ALP;1;01/31/2017 10:25:25;63.00;67.18;5;Accepted;;;;T1
AU 3 Multichem;AU3;ALT;1;01/31/2017 10:25:25;24.20;25.72;2;Accepted;;;;T1
AU 3 Multichem;AU3;AMY;1;01/31/2017 10:25:25;41.00;39.27;2;Accepted;;;;T1
AU 3 Multichem;AU3;AST;1;01/31/2017 10:25:25;40.98;41.97;2;Accepted;;;;T1
AU 3 Multichem;AU3;C3;1;01/31/2017 10:25:25;0.910;0.9;0.05;Accepted;;;;T1
AU 3 Multichem;AU3;CK;1;01/31/2017 10:25:25;56.00;56.39;5;Accepted;;;;T1
AU 3 Multichem;AU3;CRP;1;01/31/2017 10:25:25;3.500;3.53;0.24;Accepted;;;;T1
AU 3 Multichem;AU3;GGT;1;01/31/2017 10:25:25;23.6;24.2;1;Accepted;;;;T1
AU 3 Multichem;AU3;HDL;1;01/31/2017 10:25:25;0.71;0.72;0.05;Accepted;;;;T1
AU 3 Multichem;AU3;IGG;1;01/31/2017 10:25:25;6.910;6.87;0.5;Accepted;;;;T1
AU 3 Multichem;AU3;LACT;1;01/31/2017 10:25:25;0.780;0.78;0.05;Accepted;;;;T1
AU 3 Multichem;AU3;MG;1;01/31/2017 10:25:25;0.590;0.6;0.02;Accepted;;;;T1
AU 3 Multichem;AU3;PARA;1;01/31/2017 10:25:25;16.00;16.15;1;Accepted;;;;T1
AU 3 Multichem;AU3;PO4;1;01/31/2017 10:25:25;0.770;0.72;0.05;Accepted;;;;T1
AU 3 Multichem;AU3;SALIC;1;01/31/2017 10:25:25;80.1;79;8;Accepted;;;;T1
AU 3 Multichem;AU3;UREA;1;01/31/2017 10:25:25;3.05;3.19;0.2;Accepted;;;;T1
AU 3 Multichem;AU3;CL;1;01/31/2017 10:25:20;81.0;80.8;3;Accepted;;;;T1
AU 3 Multichem;AU3;K;1;01/31/2017 10:25:20;2.610;2.58;0.1;Accepted;;;;T1
AU 3 Multichem;AU3;NA;1;01/31/2017 10:25:20;118.0;117.6;2;Accepted;;;;T1
AU 3 Multichem;AU3;ALC;3;01/30/2017 23:50:42;2067.0;1925;100;Accepted;;;;T3
AU 3 Multichem;AU3;BICARB;3;01/30/2017 23:50:42;35.00;34.4;5;Accepted;;;;T3
AU 3 Multichem;AU3;C4;3;01/30/2017 23:50:42;0.370;0.38;0.02;Accepted;;;;T3
AU 3 Multichem;AU3;CA;3;01/30/2017 23:50:42;3.170;3.14;0.15;Accepted;;;;T3
AU 3 Multichem;AU3;CHOL;3;01/30/2017 23:50:42;7.020;6.84;0.2;Accepted;;;;T3
AU 3 Multichem;AU3;CL;3;01/30/2017 23:50:42;109.0;106.5;3;Accepted;;;;T3
AU 3 Multichem;AU3;CREAT;3;01/30/2017 23:50:42;478;469;20;Accepted;;;;T3
AU 3 Multichem;AU3;DBIL;3;01/30/2017 23:50:42;27.50;29;2;Accepted;;;;T3
AU 3 Multichem;AU3;GLU;3;01/30/2017 23:50:42;16.52;16.4;0.5;Accepted;;;;T3
AU 3 Multichem;AU3;IGA;3;01/30/2017 23:50:42;2.940;2.9;0.1;Accepted;;;;T3
AU 3 Multichem;AU3;IGM;3;01/30/2017 23:50:42;1.180;1.21;0.05;Accepted;;;;T3
AU 3 Multichem;AU3;K;3;01/30/2017 23:50:42;6.580;6.67;0.2;Accepted;;;;T3
AU 3 Multichem;AU3;NA;3;01/30/2017 23:50:42;155.0;156;4;Accepted;;;;T3
AU 3 Multichem;AU3;TBIL;3;01/30/2017 23:50:42;93.00;93.2;5;Accepted;;;;T3
AU 3 Multichem;AU3;TP;3;01/30/2017 23:50:42;87.19;86;2;Accepted;;;;T3
AU 3 Multichem;AU3;TRIG;3;01/30/2017 23:50:42;3.100;2.9;0.1;Accepted;4-1S fails (across runs) because results 3.100, 3.090, 3.130, and 3.040 are on the same side of the target and out of 1 SD (Target=2.900, SD=0.100);;;T3
AU 3 Multichem;AU3;URATE;3;01/30/2017 23:50:42;471.0;463;15;Accepted;;;;T3
AU 3 Multichem;AU3;ALB;3;01/30/2017 23:50:37;55.70;54.9;2;Accepted;;;;T3
AU 3 Multichem;AU3;ALP;3;01/30/2017 23:50:37;473.0;475;20;Accepted;;;;T3
AU 3 Multichem;AU3;ALT;3;01/30/2017 23:50:37;244.6;229;10;Accepted;;;;T3
AU 3 Multichem;AU3;AMY;3;01/30/2017 23:50:37;326.0;312;15;Accepted;;;;T3
AU 3 Multichem;AU3;AST;3;01/30/2017 23:50:37;270.7;269;10;Accepted;;;;T3
AU 3 Multichem;AU3;C3;3;01/30/2017 23:50:37;2.070;2.1;0.15;Accepted;;;;T3
AU 3 Multichem;AU3;CK;3;01/30/2017 23:50:37;452.0;442;15;Accepted;;;;T3
AU 3 Multichem;AU3;CL;3;01/30/2017 23:50:37;108.0;106.5;3;Accepted;;;;T3
AU 3 Multichem;AU3;CRP;3;01/30/2017 23:50:37;28.70;29.5;1;Accepted;;;;T3
AU 3 Multichem;AU3;GGT;3;01/30/2017 23:50:37;149.3;147;5;Accepted;;;;T3
AU 3 Multichem;AU3;HDL;3;01/30/2017 23:50:37;1.670;1.61;0.1;Accepted;;;;T3
AU 3 Multichem;AU3;IGG;3;01/30/2017 23:50:37;13.11;13.4;1;Accepted;;;;T3
AU 3 Multichem;AU3;K;3;01/30/2017 23:50:37;6.750;6.67;0.2;Accepted;;;;T3
AU 3 Multichem;AU3;LACT;3;01/30/2017 23:50:37;4.210;4.2;0.2;Accepted;;;;T3
AU 3 Multichem;AU3;MG;3;01/30/2017 23:50:37;1.850;1.82;0.1;Accepted;;;;T3
AU 3 Multichem;AU3;NA;3;01/30/2017 23:50:37;158.0;156;4;Accepted;;;;T3
AU 3 Multichem;AU3;PARA;3;01/30/2017 23:50:37;205.0;207;5;Accepted;;;;T3
AU 3 Multichem;AU3;PO4;3;01/30/2017 23:50:37;2.420;2.38;0.1;Accepted;;;;T3
AU 3 Multichem;AU3;SALIC;3;01/30/2017 23:50:37;389.0;365;15;Accepted;;;;T3
AU 3 Multichem;AU3;UREA;3;01/30/2017 23:50:37;22.54;22;1;Accepted;;;;T3
AU 3 Multichem;AU3;ALC;2;01/30/2017 17:08:11;721.0;703;30;Accepted;;;;T2
AU 3 Multichem;AU3;BICARB;2;01/30/2017 17:08:11;25.00;23.5;4;Accepted;;;;T2
AU 3 Multichem;AU3;C4;2;01/30/2017 17:08:11;0.270;0.27;0.02;Accepted;;;;T2
AU 3 Multichem;AU3;CA;2;01/30/2017 17:08:11;2.440;2.4;0.1;Accepted;;;;T2
AU 3 Multichem;AU3;CHOL;2;01/30/2017 17:08:11;4.060;3.94;0.15;Accepted;;;;T2
AU 3 Multichem;AU3;CL;2;01/30/2017 17:08:11;94.00;91.8;2.5;Accepted;;;;T2
AU 3 Multichem;AU3;CREAT;2;01/30/2017 17:08:11;165.0;164.5;5;Accepted;;;;T2
AU 3 Multichem;AU3;DBIL;2;01/30/2017 17:08:11;14.80;15.9;1;Accepted;;;;T2
